"","x"
"1","Kenya"
"2","Rwanda"
"3","Uganda"
"4","United Republic of Tanzania"
"5","Democratic Republic of the Congo"
"6","Belgium"
"7","France*"
"8","Others"
"9","Madagascar"
"10","Réunion"
"11","Ethiopia"
"12","Somalia"
"13","Yemen"
"14","Burundi"
"15","Comoros"
"16","Malawi"
"17","Mozambique"
"18","South Sudan"
"19","Zambia"
"20","Zimbabwe"
"21","Angola"
"22","Sudan"
"23","South Africa"
"24","China"
"25","India"
"26","United Kingdom*"
"27","Djibouti"
"28","Eritrea"
"29","Syrian Arab Republic"
"30","Namibia"
"31","Congo"
"32","Seychelles"
"33","China, Hong Kong SAR"
"34","Japan"
"35","Bangladesh"
"36","Pakistan"
"37","Sri Lanka"
"38","Malaysia"
"39","Russian Federation"
"40","Ireland"
"41","Italy"
"42","Spain*"
"43","Germany"
"44","Switzerland"
"45","Canada"
"46","United States of America*"
"47","Lesotho"
"48","Cabo Verde"
"49","Nigeria"
"50","Portugal"
"51","Mauritius"
"52","Mayotte"
"53","Maldives"
"54","Nepal"
"55","Indonesia"
"56","Philippines"
"57","Thailand"
"58","Cuba"
"59","Australia*"
"60","Central African Republic"
"61","Chad"
"62","Egypt"
"63","Libya"
"64","Mali"
"65","Botswana"
"66","Eswatini"
"67","Cameroon"
"68","Ghana"
"69","Senegal"
"70","Sao Tome and Principe"
"71","Côte d'Ivoire"
"72","Guinea"
"73","Equatorial Guinea"
"74","Gabon"
"75","Benin"
"76","Liberia"
"77","Niger"
"78","Greece"
"79","Netherlands*"
"80","Togo"
"81","Cyprus"
"82","Türkiye"
"83","Denmark*"
"84","Sweden"
"85","Slovenia"
"86","Austria"
"87","Mauritania"
"88","Lebanon"
"89","Algeria"
"90","Morocco"
"91","Tunisia"
"92","Burkina Faso"
"93","Dem. People's Republic of Korea"
"94","Republic of Korea"
"95","Israel"
"96","Iraq"
"97","Jordan"
"98","Kuwait"
"99","Saudi Arabia"
"100","State of Palestine"
"101","Sierra Leone"
"102","Afghanistan"
"103","Lao People's Democratic Republic"
"104","Singapore"
"105","Armenia"
"106","Bahrain"
"107","Oman"
"108","Qatar"
"109","United Arab Emirates"
"110","Belarus"
"111","Czechia"
"112","Poland"
"113","Ukraine*"
"114","Finland*"
"115","Norway*"
"116","Brazil"
"117","Guinea-Bissau"
"118","Kazakhstan"
"119","Tajikistan"
"120","Turkmenistan"
"121","Uzbekistan"
"122","Iran (Islamic Republic of)"
"123","Hungary"
"124","Romania"
"125","Albania"
"126","Bosnia and Herzegovina"
"127","Monaco"
"128","El Salvador"
"129","New Zealand*"
"130","Gambia"
"131","Bulgaria"
"132","Luxembourg"
"133","Antigua and Barbuda"
"134","Bahamas"
"135","Argentina"
"136","Chile"
"137","China, Taiwan Province of China"
"138","Myanmar"
"139","Viet Nam"
"140","Slovakia"
"141","Estonia"
"142","Iceland"
"143","Latvia"
"144","Lithuania"
"145","Croatia"
"146","Malta"
"147","Serbia*"
"148","British Virgin Islands*"
"149","Martinique*"
"150","Mexico"
"151","Colombia"
"152","Guyana"
"153","Venezuela (Bolivarian Republic of)"
"154","Vanuatu"
"155","American Samoa*"
"156","Wallis and Futuna Islands*"
"157","Timor-Leste"
"158","United States Virgin Islands*"
"159","Peru"
"160","Bhutan"
"161","Cambodia"
"162","Azerbaijan"
"163","Republic of Moldova*"
"164","Andorra"
"165","Liechtenstein"
"166","Barbados"
"167","Dominica"
"168","Dominican Republic"
"169","Haiti"
"170","Saint Vincent and the Grenadines"
"171","Belize"
"172","Costa Rica"
"173","Honduras"
"174","Nicaragua"
"175","Bolivia (Plurinational State of)"
"176","Ecuador"
"177","Uruguay"
"178","Fiji"
"179","Papua New Guinea"
"180","Solomon Islands"
"181","Micronesia"
"182","Kiribati"
"183","Marshall Islands"
"184","Micronesia (Fed. States of)"
"185","Nauru"
"186","Palau"
"187","Samoa"
"188","Tonga"
"189","Tuvalu"
"190","Grenada"
"191","Guadeloupe*"
"192","Turks and Caicos Islands*"
"193","French Polynesia*"
"194","Kyrgyzstan"
"195","Mongolia"
"196","Georgia"
"197","Brunei Darussalam"
"198","China, Macao SAR"
"199","Jamaica"
"200","Panama"
"201","Paraguay"
"202","North Macedonia"
"203","Gibraltar*"
"204","Puerto Rico*"
"205","Trinidad and Tobago"
"206","Suriname"
"207","Isle of Man*"
"208","Holy See*"
"209","Montenegro"
"210","San Marino"
"211","Anguilla*"
"212","Aruba*"
"213","Cayman Islands*"
"214","Guatemala"
"215","Bermuda*"
"216","Greenland*"
"217","Tokelau*"
"218","Faroe Islands*"
"219","Saint Kitts and Nevis"
"220","Saint Lucia"
"221","Falkland Islands (Malvinas)*"
"222","New Caledonia*"
"223","Saint Helena"
"224","Curaçao*"
"225","French Guiana*"
"226","Cook Islands*"
"227","Channel Islands*"
"228","Bonaire, Sint Eustatius and Saba*"
"229","Montserrat*"
"230","Saint Pierre and Miquelon*"
"231","Guam*"
"232","Northern Mariana Islands*"
"233","Sint Maarten (Dutch part)*"
"234","Niue*"
